run;started;label;sym;price;sup;res;atr;rsi;EL_z1;EL_z2;EL_conf;EL_t1;EL_t2;EL_t3;EL_inv;CL_z1;CL_z2;CL_conf;CL_t1;CL_t2;CL_t3;CL_inv;ES_z1;ES_z2;ES_conf;ES_t1;ES_t2;ES_t3;ES_inv;CS_z1;CS_z2;CS_conf;CS_t1;CS_t2;CS_t3;CS_inv
28675640812;2026-07-03T17:40:49Z;03.07 · 20:41 Київ · Лондон · close -1h;ETH;1734;1692;1753;14.63;64;1692;1699;1699;1753;1768;1783;1688;1753;;;1768;1783;;;1746;1753;1746;1692;1677;1663;1757;1692;;;1677;1663;;
28675640812;2026-07-03T17:40:49Z;03.07 · 20:41 Київ · Лондон · close -1h;SOL;81.54;80.34;82.06;0.7334;59;80.34;80.71;80.71;82.06;82.79;83.53;80.16;82.06;;;82.79;83.53;;;81.69;82.06;81.69;80.34;79.61;78.87;82.24;80.34;;;79.61;78.87;;
28685539996;2026-07-03T22:12:35Z;04.07 · 01:13 Київ · Нью-Йорк · close -1h;BTC;62732;61286;62908;361.27;72;61286;61467;61467;62908;63269;63630;61196;62908;;;63269;63630;;;62727;62908;62727;61286;60925;60563;62998;61286;;;60925;60563;;
28685539996;2026-07-03T22:12:35Z;04.07 · 01:13 Київ · Нью-Йорк · close -1h;ETH;1763;1695;1774;15.23;73;1695;1703;1703;1774;1789;1804;1692;1774;;;1789;1804;;;1766;1774;1766;1695;1680;1665;1778;1695;;;1680;1665;;
28685539996;2026-07-03T22:12:35Z;04.07 · 01:13 Київ · Нью-Йорк · close -1h;SOL;82.66;80.34;83.22;0.7599;68;80.34;80.72;80.72;83.22;83.98;84.74;80.15;83.22;;;83.98;84.74;;;82.84;83.22;82.84;80.34;79.58;78.82;83.41;80.34;;;79.58;78.82;;
28703185956;2026-07-04T10:21:54Z;04.07 · 13:22 Київ · Азія · close -1h;BTC;62494;61700;62980;274.29;57;61700;61837;61837;62980;63254;63528;61631;62980;;;63254;63528;;;62843;62980;62843;61700;61426;61151;63048;61700;;;61426;61151;;
28703185956;2026-07-04T10:21:54Z;04.07 · 13:22 Київ · Азія · close -1h;ETH;1758;1728;1776;11.39;61;1728;1734;1734;1776;1787;1799;1725;1776;;;1787;1799;;;1770;1776;1770;1728;1716;1705;1779;1728;;;1716;1705;;
28703185956;2026-07-04T10:21:54Z;04.07 · 13:22 Київ · Азія · close -1h;SOL;81.74;80.91;83.98;0.7234;47;80.91;81.27;81.27;83.98;84.7;85.43;80.73;83.98;;;84.7;85.43;;;83.62;83.98;83.62;80.91;80.19;79.46;84.16;80.91;;;80.19;79.46;;
28703993065;2026-07-04T10:56:52Z;04.07 · 13:57 Київ · Лондон · open +1h;BTC;62494;61700;62980;274.29;57;61700;61837;61837;62980;63254;63528;61631;62980;;;63254;63528;;;62843;62980;62843;61700;61426;61151;63048;61700;;;61426;61151;;
28703993065;2026-07-04T10:56:52Z;04.07 · 13:57 Київ · Лондон · open +1h;ETH;1758;1728;1776;11.39;61;1728;1734;1734;1776;1787;1799;1725;1776;;;1787;1799;;;1770;1776;1770;1728;1716;1705;1779;1728;;;1716;1705;;
28703993065;2026-07-04T10:56:52Z;04.07 · 13:57 Київ · Лондон · open +1h;SOL;81.74;80.91;83.98;0.7234;47;80.91;81.27;81.27;83.98;84.7;85.43;80.73;83.98;;;84.7;85.43;;;83.62;83.98;83.62;80.91;80.19;79.46;84.16;80.91;;;80.19;79.46;;
28710562930;2026-07-04T15:18:01Z;04.07 · 18:18 Київ · Нью-Йорк · open +1h;BTC;62694;62118;62980;240.52;61;62118;62238;62238;62980;63220;63461;62058;62980;;;63220;63461;;;62860;62980;62860;62118;61877;61637;63040;62118;;;61877;61637;;
28710562930;2026-07-04T15:18:01Z;04.07 · 18:18 Київ · Нью-Йорк · open +1h;ETH;1772;1736;1779;10.72;69;1736;1742;1742;1779;1789;1800;1734;1779;;;1789;1800;;;1773;1779;1773;1736;1725;1715;1781;1736;;;1725;1715;;
28710562930;2026-07-04T15:18:01Z;04.07 · 18:18 Київ · Нью-Йорк · open +1h;SOL;81.8;81.36;83.98;0.6473;48;81.36;81.68;81.68;83.98;84.63;85.27;81.2;83.98;;;84.63;85.27;;;83.66;83.98;83.66;81.36;80.71;80.07;84.14;81.36;;;80.71;80.07;;
28713683778;2026-07-04T17:14:27Z;04.07 · 20:14 Київ · Лондон · close -1h;BTC;62927;62186;63075;246.12;66;62186;62309;62309;63075;63322;63568;62124;63075;;;63322;63568;;;62952;63075;62952;62186;61940;61694;63137;62186;;;61940;61694;;
28713683778;2026-07-04T17:14:27Z;04.07 · 20:14 Київ · Лондон · close -1h;ETH;1787;1744;1800;11.7;72;1744;1749;1749;1800;1812;1823;1741;1800;;;1812;1823;;;1794;1800;1794;1744;1732;1720;1803;1744;;;1732;1720;;
28713683778;2026-07-04T17:14:27Z;04.07 · 20:14 Київ · Лондон · close -1h;SOL;82.22;81.36;83.98;0.6324;54;81.36;81.68;81.68;83.98;84.61;85.24;81.2;83.98;;;84.61;85.24;;;83.66;83.98;83.66;81.36;80.73;80.1;84.14;81.36;;;80.73;80.1;;
